,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,186,186,68,68,2,2,2,34,0,0,0,0,0,0,0,0,0,0,0,0
1,242,242,78,78,2,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0
2,236,236,105,105,2,2,2,34,0,0,0,0,0,0,0,0,0,0,0,0
3,211,211,59,59,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0
4,188,188,61,61,2,2,2,48,0,0,0,0,0,0,0,0,0,0,0,0
5,41,41,13,13,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0
